PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
2005,,27.9999,,1,0
2005,,27.9999,,2,0
2005,,27.9999,66,,0
2005,,27.9999,66,1,0
2005,,27.9999,66,2,0
2005,,27.9999,76,,0
2005,,27.9999,76,1,0
2005,,27.9999,76,2,0
2005,,27.9999,86,,0
2005,,27.9999,86,1,0
2005,,27.9999,86,2,0
2005,,52.1302,,,0
2005,,52.1302,,1,0
2005,,52.1302,,2,0
2005,,52.1302,66,,0
2005,,52.1302,66,1,0
2005,,52.1302,66,2,0
2005,,52.1302,76,,0
2005,,52.1302,76,1,0
2005,,52.1302,76,2,0
2005,,52.1302,86,,0
2005,,52.1302,86,1,0
2005,,52.1302,86,2,0
2005,10,,,,30
2005,10,,,1,20
2005,10,,,2,10
2005,10,,66,,10
2005,10,,66,1,5
2005,10,,66,2,5
2005,10,,76,,15
2005,10,,76,1,10
2005,10,,76,2,5
2005,10,,86,,5
2005,10,,86,1,5
2005,10,,86,2,0
2005,10,26.1102,,,0
2005,10,26.1102,,1,0
2005,10,26.1102,,2,0
2005,10,26.1102,66,,0
2005,10,26.1102,66,1,0
2005,10,26.1102,66,2,0
2005,10,26.1102,76,,0
2005,10,26.1102,76,1,0
2005,10,26.1102,76,2,0
2005,10,26.1102,86,,0
2005,10,26.1102,86,1,0
2005,10,26.1102,86,2,0
2005,10,27.0501,,,30
2005,10,27.0501,,1,20
2005,10,27.0501,,2,10
2005,10,27.0501,66,,10
2005,10,27.0501,66,1,5
2005,10,27.0501,66,2,5
2005,10,27.0501,76,,15
2005,10,27.0501,76,1,10
2005,10,27.0501,76,2,5
2005,10,27.0501,86,,5
2005,10,27.0501,86,1,5
2005,10,27.0501,86,2,0
2005,10,27.0502,,,0
2005,10,27.0502,,1,0
2005,10,27.0502,,2,0
2005,10,27.0502,66,,0
2005,10,27.0502,66,1,0
2005,10,27.0502,66,2,0
2005,10,27.0502,76,,0
2005,10,27.0502,76,1,0
2005,10,27.0502,76,2,0
2005,10,27.0502,86,,0
2005,10,27.0502,86,1,0
2005,10,27.0502,86,2,0
2005,10,27.0599,,,0
2005,10,27.0599,,1,0
2005,10,27.0599,,2,0
2005,10,27.0599,66,,0
2005,10,27.0599,66,1,0
2005,10,27.0599,66,2,0
2005,10,27.0599,76,,0
2005,10,27.0599,76,1,0
2005,10,27.0599,76,2,0
2005,10,27.0599,86,,0
